,id,LWR_route,RWR_route,TE_route,RB_route,Flex_route
0,2021090900-97,left_deep,left_shallow,left_shallow,middle_shallow,right_deep
1,2021090900-137,middle_shallow,left_deep,right_shallow,middle_deep,middle_shallow
2,2021090900-282,middle_deep,middle_deep,other,left_shallow,other
3,2021090900-349,middle_deep,left_shallow,middle_shallow,other,middle_deep
4,2021090900-410,middle_shallow,middle_shallow,middle_shallow,middle_shallow,right_shallow
5,2021090900-434,middle_shallow,middle_deep,middle_shallow,other,middle_shallow
6,2021090900-456,left_shallow,middle_deep,middle_deep,right_shallow,right_deep
7,2021090900-480,middle_deep,middle_shallow,left_shallow,middle_shallow,middle_shallow
8,2021090900-509,middle_deep,middle_deep,middle_deep,middle_shallow,middle_deep
9,2021090900-559,middle_deep,middle_shallow,right_shallow,left_shallow,right_deep
10,2021090900-583,middle_shallow,middle_deep,other,other,middle_shallow
11,2021090900-687,left_shallow,middle_shallow,middle_shallow,left_shallow,middle_deep
12,2021090900-735,other,right_shallow,right_deep,left_shallow,middle_deep
13,2021090900-764,middle_deep,middle_deep,right_shallow,left_shallow,middle_shallow
14,2021090900-788,middle_shallow,middle_shallow,middle_shallow,middle_shallow,middle_shallow
15,2021090900-869,middle_deep,middle_deep,other,middle_shallow,middle_deep
16,2021090900-925,right_shallow,right_shallow,right_deep,middle_shallow,right_deep
17,2021090900-947,middle_deep,middle_shallow,right_shallow,right_shallow,middle_deep
18,2021090900-1203,left_shallow,middle_deep,middle_deep,right_shallow,middle_shallow
19,2021090900-1227,middle_shallow,right_shallow,middle_shallow,middle_shallow,middle_shallow
20,2021090900-1267,middle_deep,middle_deep,right_shallow,right_shallow,other
21,2021090900-1312,right_shallow,middle_shallow,middle_shallow,left_shallow,left_shallow
22,2021090900-1368,middle_deep,middle_deep,other,right_shallow,left_shallow
23,2021090900-1392,middle_shallow,left_shallow,right_shallow,middle_deep,middle_shallow
24,2021090900-1425,middle_shallow,middle_deep,right_deep,left_shallow,right_shallow
25,2021090900-1506,middle_deep,middle_deep,middle_deep,middle_shallow,middle_deep
26,2021090900-1563,middle_deep,right_shallow,left_deep,other,middle_deep
27,2021090900-1587,right_shallow,left_deep,middle_deep,other,middle_shallow
28,2021090900-1687,left_deep,left_shallow,middle_deep,right_shallow,middle_deep
29,2021090900-1726,middle_deep,middle_deep,left_shallow,other,middle_deep
30,2021090900-1776,left_shallow,middle_shallow,other,other,right_shallow
31,2021090900-1918,left_deep,middle_shallow,middle_deep,other,left_shallow
32,2021090900-1940,left_deep,middle_deep,middle_deep,right_shallow,middle_deep
33,2021090900-2008,middle_shallow,middle_shallow,middle_shallow,middle_shallow,middle_shallow
34,2021090900-2032,left_deep,middle_deep,left_shallow,middle_shallow,middle_deep
35,2021090900-2088,middle_shallow,middle_deep,middle_shallow,middle_shallow,middle_shallow
36,2021090900-2129,middle_shallow,middle_shallow,middle_shallow,middle_shallow,middle_shallow
37,2021090900-2169,middle_shallow,middle_deep,middle_deep,middle_shallow,right_deep
38,2021090900-2211,middle_deep,middle_deep,middle_deep,left_shallow,middle_deep
39,2021090900-2233,middle_deep,middle_shallow,left_shallow,left_shallow,middle_deep
40,2021090900-2257,middle_deep,middle_shallow,left_shallow,right_shallow,right_deep
41,2021090900-2279,middle_deep,right_deep,left_shallow,right_shallow,right_shallow
